time,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,trueAirspeed_nmi_h
0.0,0.0,0.0,0.0,30000.0,0.0,0.0,32.10653699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.8492583,8.90951E-4,629.8546116,411.8392612,0.0,0.0,0.0,0.0,0.0,0.0,1.01E-8,5.92E-6
0.1,0.0,2.1E-5,3.199510561,29999.84002,1.82E-12,0.0,32.10653738,0.0,0.0,-4.17807E-4,0.0,0.0,0.0,-191.9706337,994.8499466,8.90956E-4,629.8591389,411.8398311,0.0,0.0,0.0,0.0,0.0,0.0,0.003216074,1.895658176
0.2,0.0,8.87E-5,6.399021221,29999.3601,1.58E-11,0.0,32.10653876,0.0,0.0,-8.35615E-4,0.0,0.0,0.0,-383.9412732,994.8520117,8.90972E-4,629.872771,411.8415408,0.0,0.0,0.0,0.0,0.0,0.0,0.006432134,3.791316409
0.3,0.0,2.02981E-4,9.598532075,29998.56022,5.46E-11,0.0,32.10654111,0.0,0.0,-0.001253422,0.0,0.0,0.0,-575.9119245,994.8554451,8.90998E-4,629.8954474,411.8443835,0.0,0.0,0.0,0.0,0.0,0.0,0.009648168,5.68697476
0.4,0.0,3.63967E-4,12.79804322,29997.44039,1.31E-10,0.0,32.10654445,0.0,0.0,-0.00167123,0.0,0.0,0.0,-767.8825934,994.8602553,8.91034E-4,629.9271791,411.8483661,0.0,0.0,0.0,0.0,0.0,0.0,0.012864162,7.582633284
0.5,0.0,5.71614E-4,15.99755476,29996.00061,2.58E-10,0.0,32.10654877,0.0,0.0,-0.002089037,0.0,0.0,0.0,-959.8532857,994.866442,8.91081E-4,629.9680164,411.8534885,0.0,0.0,0.0,0.0,0.0,0.0,0.016080103,9.478292042
0.6,0.0,8.25925E-4,19.19706679,29994.24088,4.48E-10,0.0,32.10655408,0.0,0.0,-0.002506845,0.0,0.0,0.0,-1151.824007,994.8739972,8.91138E-4,630.0179494,411.8597438,0.0,0.0,0.0,0.0,0.0,0.0,0.019295978,11.37395109
0.7,0.0,0.001126897,22.3965794,29992.1612,7.14E-10,0.0,32.10656036,0.0,0.0,-0.002924653,0.0,0.0,0.0,-1343.794764,994.8829289,8.91205E-4,630.0768892,411.867139,0.0,0.0,0.0,0.0,0.0,0.0,0.022511774,13.26961049
0.8,0.0,0.001474532,25.5960927,29989.76156,1.07E-9,0.0,32.10656763,0.0,0.0,-0.00334246,0.0,0.0,0.0,-1535.765562,994.8932372,8.91283E-4,630.1449367,411.875674,0.0,0.0,0.0,0.0,0.0,0.0,0.025727477,15.16527029
0.9,0.0,0.00186883,28.79560678,29987.04198,1.52E-9,0.0,32.10657588,0.0,0.0,-0.003760268,0.0,0.0,0.0,-1727.736407,994.904922,8.91371E-4,630.2220928,411.8853488,0.0,0.0,0.0,0.0,0.0,0.0,0.028943074,17.06093056
1.0,0.0,0.00230979,31.99512173,29984.00244,2.09E-9,0.0,32.10658511,0.0,0.0,-0.004178076,0.0,0.0,0.0,-1919.707304,994.9179749,8.9147E-4,630.3082478,411.8961566,0.0,0.0,0.0,0.0,0.0,0.0,0.032158552,18.95659136
1.1,0.0,0.002797413,35.19463767,29980.64296,2.79E-9,0.0,32.10659532,0.0,0.0,-0.004595884,0.0,0.0,0.0,-2111.67826,994.9324043,8.91579E-4,630.4035637,411.9081042,0.0,0.0,0.0,0.0,0.0,0.0,0.035373898,20.85225273
1.2,0.0,0.003331698,38.39415468,29976.96352,3.63E-9,0.0,32.10660652,0.0,0.0,-0.005013692,0.0,0.0,0.0,-2303.649281,994.9482101,8.91698E-4,630.5078915,411.9211917,0.0,0.0,0.0,0.0,0.0,0.0,0.038589099,22.74791475
1.3,0.0,0.003912646,41.59367286,29972.96412,4.62E-9,0.0,32.10661869,0.0,0.0,-0.005431501,0.0,0.0,0.0,-2495.620371,994.9653838,8.91827E-4,630.6213223,411.9354121,0.0,0.0,0.0,0.0,0.0,0.0,0.041804141,24.64357746
1.4,0.0,0.004540257,44.79319231,29968.64478,5.77E-9,0.0,32.10663185,0.0,0.0,-0.005849309,0.0,0.0,0.0,-2687.591539,994.9839338,8.91967E-4,630.743868,411.9507724,0.0,0.0,0.0,0.0,0.0,0.0,0.045019011,26.53924093
1.5,0.0,0.00521453,47.99271313,29964.00549,7.1E-9,0.0,32.10664599,0.0,0.0,-0.006267118,0.0,0.0,0.0,-2879.562788,995.0038599,8.92118E-4,630.8754302,411.9672725,0.0,0.0,0.0,0.0,0.0,0.0,0.048233696,28.43490521
1.6,0.0,0.005935467,51.19223541,29959.04624,8.63E-9,0.0,32.10666111,0.0,0.0,-0.006684927,0.0,0.0,0.0,-3071.534125,995.0251538,8.92279E-4,631.0161504,411.9849055,0.0,0.0,0.0,0.0,0.0,0.0,0.051448183,30.33057037
1.7,0.0,0.006703066,54.39175926,29953.76704,1.04E-8,0.0,32.10667722,0.0,0.0,-0.007102736,0.0,0.0,0.0,-3263.505556,995.0478237,8.9245E-4,631.1658907,412.0036784,0.0,0.0,0.0,0.0,0.0,0.0,0.054662458,32.22623646
1.8,0.0,0.007517328,57.59128477,29948.16789,1.23E-8,0.0,32.10669431,0.0,0.0,-0.007520546,0.0,0.0,0.0,-3455.477086,995.0718694,8.92631E-4,631.3247532,412.0235912,0.0,0.0,0.0,0.0,0.0,0.0,0.057876508,34.12190354
1.9,0.0,0.008378253,60.79081203,29942.24878,1.45E-8,0.0,32.10671237,0.0,0.0,-0.007938355,0.0,0.0,0.0,-3647.448722,995.097291,8.92823E-4,631.4927402,412.0446437,0.0,0.0,0.0,0.0,0.0,0.0,0.061090321,36.01757166
2.0,0.0,0.009285841,63.99034116,29936.00972,1.69E-8,0.0,32.10673143,0.0,0.0,-0.008356165,0.0,0.0,0.0,-3839.420469,995.1240799,8.93025E-4,631.6697932,412.0668292,0.0,0.0,0.0,0.0,0.0,0.0,0.064303882,37.91324089
2.1,0.0,0.010240092,67.18987223,29929.45071,1.96E-8,0.0,32.10675146,0.0,0.0,-0.008773975,0.0,0.0,0.0,-4031.392334,995.1522443,8.93238E-4,631.8559251,412.0901546,0.0,0.0,0.0,0.0,0.0,0.0,0.06751718,39.80891128
2.2,0.0,0.011241006,70.38940536,29922.57175,2.25E-8,0.0,32.10677247,0.0,0.0,-0.009191785,0.0,0.0,0.0,-4223.364322,995.1817843,8.93461E-4,632.0511385,412.1146198,0.0,0.0,0.0,0.0,0.0,0.0,0.0707302,41.7045829
2.3,0.0,0.012288584,73.58894064,29915.37283,2.57E-8,0.0,32.10679447,0.0,0.0,-0.009609596,0.0,0.0,0.0,-4415.336438,995.2126995,8.93694E-4,632.255486,412.1402248,0.0,0.0,0.0,0.0,0.0,0.0,0.073942929,43.60025579
2.4,0.0,0.013382825,76.78847816,29907.85396,2.92E-8,0.0,32.10681745,0.0,0.0,-0.010027407,0.0,0.0,0.0,-4607.30869,995.2449816,8.93938E-4,632.4689599,412.1669627,0.0,0.0,0.0,0.0,0.0,0.0,0.077155354,45.49593003
2.5,0.0,0.014523729,79.98801803,29900.01514,3.3E-8,0.0,32.10684141,0.0,0.0,-0.010445218,0.0,0.0,0.0,-4799.281082,995.2786388,8.94192E-4,632.6915234,412.1948405,0.0,0.0,0.0,0.0,0.0,0.0,0.080367463,47.39160566
2.6,0.0,0.015711297,83.18756034,29891.85636,3.72E-8,0.0,32.10686635,0.0,0.0,-0.010863029,0.0,0.0,0.0,-4991.25362,995.3136627,8.94456E-4,632.9231689,412.2238513,0.0,0.0,0.0,0.0,0.0,0.0,0.083579242,49.28728274
2.7,0.0,0.016945528,86.38710519,29883.37762,4.16E-8,0.0,32.10689228,0.0,0.0,-0.011280841,0.0,0.0,0.0,-5183.226311,995.3500696,8.94731E-4,633.1639708,412.2540088,0.0,0.0,0.0,0.0,0.0,0.0,0.086790677,51.18296134
2.8,0.0,0.018226423,89.58665268,29874.57894,4.64E-8,0.0,32.10691919,0.0,0.0,-0.011698654,0.0,0.0,0.0,-5375.199161,995.3878428,8.95016E-4,633.4138611,412.2852992,0.0,0.0,0.0,0.0,0.0,0.0,0.090001757,53.07864151
2.9,0.0,0.019553982,92.7862029,29865.46029,5.16E-8,0.0,32.10694707,0.0,0.0,-0.012116466,0.0,0.0,0.0,-5567.172174,995.4269823,8.95312E-4,633.6728432,412.3177226,0.0,0.0,0.0,0.0,0.0,0.0,0.093212467,54.9743233
3.0,0.0,0.020928205,95.98575596,29856.0217,5.71E-8,0.0,32.10697595,0.0,0.0,-0.012534279,0.0,0.0,0.0,-5759.145357,995.4675043,8.95618E-4,633.9409916,412.3512927,0.0,0.0,0.0,0.0,0.0,0.0,0.096422794,56.87000679
3.1,0.0,0.022349092,99.18531195,29846.26314,6.3E-8,0.0,32.1070058,0.0,0.0,-0.012952092,0.0,0.0,0.0,-5951.118717,995.5093922,8.95934E-4,634.2182388,412.3859958,0.0,0.0,0.0,0.0,0.0,0.0,0.099632726,58.76569202
3.2,0.0,0.023816643,102.384871,29836.18463,6.94E-8,0.0,32.10703663,0.0,0.0,-0.013369906,0.0,0.0,0.0,-6143.092258,995.552654,8.96261E-4,634.5046491,412.4218387,0.0,0.0,0.0,0.0,0.0,0.0,0.102842249,60.66137905
3.3,0.0,0.025330858,105.5844331,29825.78617,7.61E-8,0.0,32.10706845,0.0,0.0,-0.01378772,0.0,0.0,0.0,-6335.065986,995.5972897,8.96598E-4,634.8001763,412.4588214,0.0,0.0,0.0,0.0,0.0,0.0,0.10605135,62.55706795
3.4,0.0,0.026891738,108.7839985,29815.06775,8.32E-8,0.0,32.10710125,0.0,0.0,-0.014205535,0.0,0.0,0.0,-6527.039908,995.6432906,8.96945E-4,635.1048138,412.4969371,0.0,0.0,0.0,0.0,0.0,0.0,0.109260016,64.45275876
3.5,0.0,0.028499282,111.9835672,29804.02937,9.08E-8,0.0,32.10713503,0.0,0.0,-0.014623349,0.0,0.0,0.0,-6719.014029,995.690665,8.97303E-4,635.4186262,412.5361926,0.0,0.0,0.0,0.0,0.0,0.0,0.112468234,66.34845155
3.6,0.0,0.03015349,115.1831393,29792.67103,9.88E-8,0.0,32.1071698,0.0,0.0,-0.015041165,0.0,0.0,0.0,-6910.988356,995.7394126,8.97671E-4,635.7416179,412.576588,0.0,0.0,0.0,0.0,0.0,0.0,0.115675991,68.24414638
3.7,0.0,0.031854363,118.3827149,29780.99274,1.07E-7,0.0,32.10720554,0.0,0.0,-0.015458981,0.0,0.0,0.0,-7102.962893,995.7895249,8.9805E-4,636.0736822,412.6181163,0.0,0.0,0.0,0.0,0.0,0.0,0.118883274,70.13984331
3.8,0.0,0.033601901,121.5822941,29768.99449,1.16E-7,0.0,32.10724227,0.0,0.0,-0.015876797,0.0,0.0,0.0,-7294.937647,995.8410101,8.98439E-4,636.4149345,412.6607845,0.0,0.0,0.0,0.0,0.0,0.0,0.12209007,72.03554239
3.9,0.0,0.035396104,124.7818771,29756.67628,1.26E-7,0.0,32.10727998,0.0,0.0,-0.016294614,0.0,0.0,0.0,-7486.912624,995.8938678,8.98838E-4,636.7653793,412.7045924,0.0,0.0,0.0,0.0,0.0,0.0,0.125296366,73.93124367
4.0,0.0,0.037236973,127.9814638,29744.03811,1.36E-7,0.0,32.10731867,0.0,0.0,-0.016712431,0.0,0.0,0.0,-7678.88783,995.9480979,8.99248E-4,637.1249711,412.7495403,0.0,0.0,0.0,0.0,0.0,0.0,0.128502147,75.82694723
4.1,0.0,0.039124506,131.1810545,29731.07999,1.46E-7,0.0,32.10735835,0.0,0.0,-0.017130249,0.0,0.0,0.0,-7870.86327,996.0036919,8.99668E-4,637.4937043,412.795621,0.0,0.0,0.0,0.0,0.0,0.0,0.131707404,77.72265312
4.2,0.0,0.041058705,134.3806492,29717.8019,1.57E-7,0.0,32.107399,0.0,0.0,-0.017548067,0.0,0.0,0.0,-8062.838951,996.0606578,9.00098E-4,637.8716443,412.8428416,0.0,0.0,0.0,0.0,0.0,0.0,0.13491212,79.61836139
4.3,0.0,0.043039569,137.580248,29704.20386,1.68E-7,0.0,32.10744064,0.0,0.0,-0.017965886,0.0,0.0,0.0,-8254.814877,996.1189954,9.00539E-4,638.2587462,412.8912021,0.0,0.0,0.0,0.0,0.0,0.0,0.138116285,81.5140721
4.4,0.0,0.045067099,140.7798509,29690.28585,1.81E-7,0.0,32.10748326,0.0,0.0,-0.018383705,0.0,0.0,0.0,-8446.791056,996.1786962,9.0099E-4,638.6550044,412.9406955,0.0,0.0,0.0,0.0,0.0,0.0,0.141319884,83.40978532
4.5,0.0,0.047141295,143.9794582,29676.04789,1.93E-7,0.0,32.10752687,0.0,0.0,-0.018801525,0.0,0.0,0.0,-8638.767492,996.2397682,9.01451E-4,639.0604851,412.9913287,0.0,0.0,0.0,0.0,0.0,0.0,0.144522906,85.30550109
4.6,0.0,0.049262157,147.1790699,29661.48996,2.06E-7,0.0,32.10757145,0.0,0.0,-0.019219346,0.0,0.0,0.0,-8830.744193,996.3022111,9.01923E-4,639.4751937,413.0431018,0.0,0.0,0.0,0.0,0.0,0.0,0.147725335,87.20121949
4.7,0.0,0.051429685,150.378686,29646.61207,2.2E-7,0.0,32.10761702,0.0,0.0,-0.019637167,0.0,0.0,0.0,-9022.721163,996.3660247,9.02406E-4,639.8990352,413.0960147,0.0,0.0,0.0,0.0,0.0,0.0,0.15092716,89.09694056
4.8,0.0,0.053643879,153.5783068,29631.41422,2.34E-7,0.0,32.10766357,0.0,0.0,-0.020054989,0.0,0.0,0.0,-9214.698408,996.4312005,9.02898E-4,640.3321052,413.1500606,0.0,0.0,0.0,0.0,0.0,0.0,0.154128369,90.99266436
4.9,0.0,0.05590474,156.7779322,29615.89641,2.49E-7,0.0,32.1077111,0.0,0.0,-0.020472811,0.0,0.0,0.0,-9406.675935,996.4977464,9.03401E-4,640.7744201,413.2052463,0.0,0.0,0.0,0.0,0.0,0.0,0.157328948,92.88839096
5.0,0.0,0.058212267,159.9775625,29600.05864,2.65E-7,0.0,32.10775961,0.0,0.0,-0.020890634,0.0,0.0,0.0,-9598.653749,996.5656623,9.03914E-4,641.2259354,413.2615718,0.0,0.0,0.0,0.0,0.0,0.0,0.160528883,94.78412041
5.1,0.0,0.060566462,163.1771976,29583.9009,2.81E-7,0.0,32.10780911,0.0,0.0,-0.021308458,0.0,0.0,0.0,-9790.631856,996.6349394,9.04438E-4,641.6866466,413.3190303,0.0,0.0,0.0,0.0,0.0,0.0,0.163728164,96.67985277
5.2,0.0,0.062967323,166.3768377,29567.4232,2.98E-7,0.0,32.10785959,0.0,0.0,-0.021726282,0.0,0.0,0.0,-9982.610262,996.7055859,9.04972E-4,642.1566208,413.3776286,0.0,0.0,0.0,0.0,0.0,0.0,0.166926776,98.57558809
5.3,0.0,0.065414852,169.5764829,29550.62553,3.16E-7,0.0,32.10791105,0.0,0.0,-0.022144107,0.0,0.0,0.0,-10174.58897,996.7776014,9.05517E-4,642.6358138,413.4373668,0.0,0.0,0.0,0.0,0.0,0.0,0.170124705,100.4713264
5.4,0.0,0.067909048,172.7761332,29533.5079,3.34E-7,0.0,32.10796349,0.0,0.0,-0.022561932,0.0,0.0,0.0,-10366.56799,996.8509857,9.06072E-4,643.1242825,413.4982448,0.0,0.0,0.0,0.0,0.0,0.0,0.17332194,102.3670679
5.5,0.0,0.070449911,175.9757889,29516.07031,3.53E-7,0.0,32.10801691,0.0,0.0,-0.022979759,0.0,0.0,0.0,-10558.54733,996.9257301,9.06654E-4,643.6343932,413.5602557,0.0,0.0,0.0,0.0,0.0,0.0,0.176518468,104.2628125
5.6,0.0,0.073037442,179.1754499,29498.31274,3.72E-7,0.0,32.10807132,0.0,0.0,-0.023397586,0.0,0.0,0.0,-10750.52699,997.0018426,9.07257E-4,644.1604857,413.6234065,0.0,0.0,0.0,0.0,0.0,0.0,0.179714276,106.1585602
5.7,0.0,0.075671642,182.3751164,29480.23522,3.93E-7,0.0,32.10812671,0.0,0.0,-0.023815413,0.0,0.0,0.0,-10942.50698,997.079323,9.0787E-4,644.6962317,413.6876971,0.0,0.0,0.0,0.0,0.0,0.0,0.182909351,108.0543113
5.8,0.0,0.078352509,185.5747884,29461.83772,4.14E-7,0.0,32.10818308,0.0,0.0,-0.024233242,0.0,0.0,0.0,-11134.4873,997.1581626,9.08495E-4,645.2416279,413.7531207,0.0,0.0,0.0,0.0,0.0,0.0,0.186103681,109.9500656
5.9,0.0,0.081080045,188.7744661,29443.12026,4.36E-7,0.0,32.10824043,0.0,0.0,-0.024651071,0.0,0.0,0.0,-11326.46797,997.2383693,9.0913E-4,645.7965915,413.8196841,0.0,0.0,0.0,0.0,0.0,0.0,0.189297253,111.8458234
6.0,0.0,0.08385425,191.9741496,29424.08283,4.58E-7,0.0,32.10829877,0.0,0.0,-0.025068901,0.0,0.0,0.0,-11518.44898,997.3199429,9.09776E-4,646.3612306,413.8873874,0.0,0.0,0.0,0.0,0.0,0.0,0.192490052,113.7415845
6.1,0.0,0.086675123,195.173839,29404.72543,4.81E-7,0.0,32.10835809,0.0,0.0,-0.025486731,0.0,0.0,0.0,-11710.43034,997.402883,9.10433E-4,646.9355026,413.9562305,0.0,0.0,0.0,0.0,0.0,0.0,0.195682067,115.6373492
