time,gePosition_ft_X,gePosition_ft_Y,gePosition_ft_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2,trueAirspeed_nmi_h
0.0,2.09556463253E7,0.0,0.0,0.0,5.73526540393E-5,0.0,30000.0,0.0,0.0,32.1065364063,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,994.853991834,8.91300230208E-4,630.333405472,411.83924,6.92690455674E-17,0.0428765568651,-0.0,0.0,0.0,0.0,0.0703620838581,2.18368556401,41.4738660195
0.1,2.09556461659E7,2.20920701273E-4,0.0,0.0,0.0043693792943,3.19941791156,29999.8405607,6.04029276396E-10,0.0,32.1065368662,0.0,0.0,-4.178080256580272E-4,0.0,0.0,0.0,-191.9650746936,994.854680617,8.91305280325E-4,630.337770086,411.839806885,6.93367247156E-17,0.0429158197937,-0.00196132726465,0.0,0.0,0.0,0.0704307726575,2.18796658213,41.5143823356
0.2,2.0955645686E7,8.75714646166E-4,0.0,0.0,0.00873623357575,6.39863947689,29999.3606561,2.39433105689E-9,0.0,32.1065383064,0.0,0.0,-8.356172375907919E-4,0.0,0.0,0.0,-383.9183686134,994.85675382,8.91320480931E-4,630.350907363,411.841513182,6.95474389197E-17,0.0430435982834,-0.00393453029994,0.0,0.0,0.0,0.0706448158203,2.20133221831,41.6406337034
0.3,2.09556448861E7,0.00197029780125,0.0,0.0,0.0131666457701,9.59766278978,29998.5608393,5.3870806176E-9,0.0,32.1065407285,0.0,0.0,-0.0012534276519671626,0.0,0.0,0.0,-575.8597673868,994.860209054,8.91345814511E-4,630.372802163,411.844356924,6.98998473008E-17,0.0432590406416,-0.00593171288951,0.0,0.0,0.0,0.0710028567527,2.22378092668,41.851821456
0.4,2.09556437664E7,0.00351146207041,0.0,0.0,0.0176693163087,12.7964849887,29997.4411302,9.60084828684E-9,0.0,32.1065441324,0.0,0.0,-0.0016712392873624315,0.0,0.0,0.0,-767.789099322,994.865046233,8.91381280433E-4,630.403453942,411.848338041,7.03917777981E-17,0.0435607808161,-0.00796473417564,0.0,0.0,0.0,0.0715026907408,2.25531199224,42.1466478041
0.5,2.09556423269E7,0.00550686180056,0.0,0.0,0.0222527859082,15.9951020416,29996.001549,1.50565625531E-8,0.0,32.106548518,0.0,0.0,-0.002089052164706747,0.0,0.0,0.0,-959.7061224959999,994.871265269,8.91426878053E-4,630.442862143,411.85345646,7.1020283072E-17,0.0439469731209,-0.0100451004426,0.0,0.0,0.0,0.0721413264283,2.29592528106,42.5233519503
0.6,2.09556405674E7,0.00796499548237,0.0,0.0,0.026925389888,19.1935087858,29994.2421166,2.17774600357E-8,0.0,32.1065538853,0.0,0.0,-0.002506866307233547,0.0,0.0,0.0,-1151.6105271479998,994.878866073,8.91482606713E-4,630.491026197,411.859712108,7.1781723382E-17,0.0444153435996,-0.0121838710263,0.0,0.0,0.0,0.0729150699728,2.34562122688,42.9797596598
0.7,2.09556384882E7,0.0108951831544,0.0,0.0,0.031695218071,22.3916989767,29992.1628544,2.97890237093E-8,0.0,32.1065602342,0.0,0.0,-0.002924681740422265,0.0,0.0,0.0,-1343.5019386019999,994.887848553,8.91548465739E-4,630.547945522,411.867104909,7.26718636419E-17,0.0449632501504,-0.0143915809847,0.0,0.0,0.0,0.0738196235971,2.40440081823,43.5133413082
0.8,2.09556360891E7,0.0143075401069,0.0,0.0,0.0365700809709,25.5896653427,29989.7637842,3.91189110105E-8,0.0,32.1065675647,0.0,0.0,-0.0033424984919410332,0.0,0.0,0.0,-1535.3799205619998,994.898212612,8.91624454433E-4,630.613619513,411.875634783,7.36859789997E-17,0.0455877479143,-0.0166781820408,0.0,0.0,0.0,0.0748501927944,2.47226558601,44.1212750261
0.9,2.09556333702E7,0.018212947536,0.0,0.0,0.0415574826422,28.7873996461,29987.0449289,4.97968736076E-8,0.0,32.1065758767,0.0,0.0,-0.0037603165915320903,0.0,0.0,0.0,-1727.243978766,994.909958153,8.91710572073E-4,630.688047548,411.885301652,7.48189634132E-17,0.0462856565021,-0.0190530020698,0.0,0.0,0.0,0.0760015965732,2.54921759188,44.8005116324
1.0,2.09556303316E7,0.0226230208177,0.0,0.0,0.0466646002117,31.9848927461,29984.0063122,6.18546706628E-8,0.0,32.1065851701,0.0,0.0,-0.004178136070960217,0.0,0.0,0.0,-1919.093564766,994.923085074,8.91806817909E-4,630.771228978,411.896105429,7.6065436262E-17,0.0470536259924,-0.0215247223184,0.0,0.0,0.0,0.0772683757068,2.6352594172,45.5478383904
1.1,2.09556269733E7,0.0275500760613,0.0,0.0,0.0518982698661,35.1821346647,29980.6479586,7.53259773896E-8,0.0,32.1065954449,0.0,0.0,-0.004595956963892413,0.0,0.0,0.0,-2110.928079882,994.937593269,8.91913191163E-4,630.863163131,411.908046028,7.74198429194E-17,0.0478881991801,-0.0241013707031,0.0,0.0,0.0,0.0786448948488,2.73039415272,46.3599391484
1.2,2.09556232952E7,0.0330070955634,0.0,0.0,0.0572649788057,38.3791146511,29976.9698938,9.02462906077E-8,0.0,32.1066067009,0.0,0.0,-0.0050137793058348725,0.0,0.0,0.0,-2302.7468790659996,994.953482626,8.92029691022E-4,630.963849303,411.921123358,7.88765462483E-17,0.0487858681948,-0.0267903289679,0.0,0.0,0.0,0.0801254354294,2.83462538895,47.2334490494
1.3,2.09556192975E7,0.0390076927325,0.0,0.0,0.0627708625534,41.5758212459,29972.9721446,1.06652832846E-7,0.0,32.1066189381,0.0,0.0,-0.005431603134006935,0.0,0.0,0.0,-2494.549274754,994.970753029,8.92156316638E-4,631.073286763,411.935337324,8.04299070445E-17,0.0497431242718,-0.0295983511896,0.0,0.0,0.0,0.0817042773307,2.94795720732,48.1650026274
1.4,2.095561498E7,0.045566076981,0.0,0.0,0.0684217068972,44.7722423426,29968.6547389,1.2458445636E-7,0.0,32.1066321564,0.0,0.0,-0.005849428487272326,0.0,0.0,0.0,-2686.3345405560003,994.989404359,8.92293067126E-4,631.191474746,411.950687825,8.20743524308E-17,0.0507565000586,-0.03253159106,0.0,0.0,0.0,0.0833757683241,3.07039417187,49.1512746956
1.5,2.0955610343E7,0.0526970190121,0.0,0.0,0.0742229537016,47.9683652463,29964.0177059,1.44081548229E-7,0.0,32.1066463557,0.0,0.0,-0.006267255405984464,0.0,0.0,0.0,-2878.1019147780003,995.009436489,8.92439941563E-4,631.318412452,411.967174759,8.38044320259E-17,0.0518226043495,-0.0355956354984,0.0,0.0,0.0,0.0851343810952,3.20194132172,50.1890139209
1.6,2.09556053864E7,0.0604158168503,0.0,0.0,0.0801797098582,51.1641767282,29959.0610761,1.65185937487E-7,0.0,32.1066615359,0.0,0.0,-0.006685083932015105,0.0,0.0,0.0,-3069.850603692,995.030849288,8.92596938982E-4,631.454099048,411.984798016,8.56148623486E-17,0.052938149538,-0.0387955423948,0.0,0.0,0.0,0.0869747583229,3.34260416406,51.2750693616
1.7,2.09556001102E7,0.0687382628938,0.0,0.0,0.0862967586525,54.359663077,29953.7848812,1.87940805043E-7,0.0,32.106677697,0.0,0.0,-0.007102914108507972,0.0,0.0,0.0,-3261.57978462,995.053642618,8.92764058376E-4,631.598533662,412.003557485,8.75005603674E-17,0.054099972348,-0.0421358806055,0.0,0.0,0.0,0.0888917467371,3.49238866774,52.406410512
1.8,2.09555945145E7,0.0776806121989,0.0,0.0,0.0925785729269,57.5548101457,29948.1891546,2.12390596979E-7,0.0,32.1066948388,0.0,0.0,-0.0075207459799245865,0.0,0.0,0.0,-3453.288608742,995.077816335,8.92941298693E-4,631.751715385,412.023453046,8.94566673785E-17,0.0553050485802,-0.0456207706661,0.0,0.0,0.0,0.0908804213554,3.65130125739,53.5801415628
1.9,2.09555885992E7,0.0872595521446,0.0,0.0,0.0990293294635,60.7496033949,29942.2739308,2.38580941614E-7,0.0,32.1067129612,0.0,0.0,-0.007938579591872393,0.0,0.0,0.0,-3644.976203694,995.10337029,8.93128658835E-4,631.913643268,412.044484577,9.14785645292E-17,0.0565505026884,-0.0492539250228,0.0,0.0,0.0,0.0929361012393,3.81934880795,54.7935106652
2.0,2.09555823646E7,0.0974921735785,0.0,0.0,0.105652924118,63.9440279313,29936.039246,2.6655857062E-7,0.0,32.1067320641,0.0,0.0,-0.00835641499116204,0.0,0.0,0.0,-3836.641675878,995.130304327,8.93326137657E-4,632.084316323,412.066651949,9.35618813259E-17,0.0578336130152,-0.0530386868972,0.0,0.0,0.0,0.0950543581271,3.99653863967,56.0439150004
2.1,2.09555758104E7,0.108395943495,0.0,0.0,0.112452987305,67.138068543,29929.4851378,2.96371244331E-7,0.0,32.1067521474,0.0,0.0,-0.008774252225463618,0.0,0.0,0.0,-4028.28411258,995.158618283,8.93533733969E-4,632.263733519,412.089955028,9.57024984105E-17,0.0591518134827,-0.0569780671627,0.0,0.0,0.0,0.0972310192477,4.18287851348,57.3289024207
2.2,2.0955568937E7,0.119988679269,0.0,0.0,0.119432899515,70.3317097315,29922.6116454,3.28067681298E-7,0.0,32.106773211,0.0,0.0,-0.009192091343535835,0.0,0.0,0.0,-4219.90258389,995.188311989,8.93751446529E-4,632.451893785,412.114393676,9.78965457804E-17,0.060502692465,-0.0610747788363,0.0,0.0,0.0,0.0994621655096,4.37837662669,58.6461703691
2.3,2.09555617441E7,0.132288524424,0.0,0.0,0.126595806612,73.5249357394,29915.4188095,3.61697492058E-7,0.0,32.1067952548,0.0,0.0,-0.00960993239493954,0.0,0.0,0.0,-4411.4961443639995,995.219385269,8.93979274047E-4,632.648796005,412.139967746,1.00140397497E-16,0.06188398949,-0.065331268969,0.0,0.0,0.0,0.101744126126,4.58304160899,59.9935626976
2.4,2.0955554232E7,0.145313925926,0.0,0.0,0.133944634725,76.7177305761,29907.9066724,3.97311117037E-7,0.0,32.1068182786,0.0,0.0,-0.010027775430209608,0.0,0.0,0.0,-4603.063834566,995.25183794,8.94217215184E-4,632.854439021,412.16667709,1.02430663778E-16,0.0632935903255,-0.0697497478505,0.0,0.0,0.0,0.104073470583,4.7968825187,61.3690649248
2.5,2.09555464006E7,0.159083612923,0.0,0.0,0.141482104586,79.9100780398,29900.075278,4.34959768452E-7,0.0,32.1068422823,0.0,0.0,-0.010445620500511177,0.0,0.0,0.0,-4794.604682388,995.285669813,8.94465268547E-4,633.06882163,412.19452155,1.04764181233E-16,0.0647295209159,-0.0743322155498,0.0,0.0,0.0,0.106446998729,5.01990883924,62.7707983824
2.6,2.095553825E7,0.173616576898,0.0,0.0,0.149210745229,83.1019617377,29891.924672,4.74695376044E-7,0.0,32.1068672658,0.0,0.0,-0.010863467657696921,0.0,0.0,0.0,-4986.117704261999,995.32088069,8.94723432694E-4,633.291942586,412.223500964,1.07138001861E-16,0.0661899405556,-0.0790804858812,0.0,0.0,0.0,0.108861729596,5.25213047584,64.1970136226
