time,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,trueAirspeed_nmi_h
0.0,1414.200033,1414.200033,0.0,30013.0,-75.674444,36.019167,32.12727444817824,45.0,-0.736595403,-0.170574478,0.0,0.0,0.0,0.0,994.792244,8.90259E-4,629.293264,411.7921263,-12422.37685,-12.84352829,-20369.97601,-4.44E-8,23058.80632,-14.53887256,2.010450804,1184.956264
0.1,1414.187073,1414.218416,-0.027434584,30013.00137,-75.67396594,36.01955366,32.12727602848737,45.00053414,-0.735809643,-0.170820418,-2.2803720246174E-4,-5.678011749738301E-7,1.4152057539711E-4,1.646075048,994.7922381,8.90259E-4,629.2932249,411.7921214,-12422.41872,-13.83244688,-20370.04426,-0.770805953,23058.88483,-12.52968391,2.010454671,1184.958536
0.2,1414.174203,1414.23724,-0.054882019,30013.00549,-75.67348787,36.01994032,32.1272777888317,45.00109813,-0.735023841,-0.171112537,-8.708958485976E-4,-1.0084057194287999E-6,5.786873730812999E-4,3.292921147,994.7922204,8.90259E-4,629.2931073,411.7921068,-12422.46934,-14.72268125,-20370.12692,-1.319093984,23058.97951,-10.78179573,2.01045894,1184.961031
0.3,1414.16137,1414.255952,-0.082338671,30013.01235,-75.67300979,36.02032697,32.127279529176064,45.00171462,-0.734237815,-0.171478397,-0.0016386592940718,9.74028251721E-7,0.0011631043241138999,4.940320273,994.792191,8.90259E-4,629.2929114,411.7920824,-12422.51805,-15.0319834,-20370.17622,-1.331484813,23059.06735,-10.2582457,2.01046318,1184.963495
0.4,1414.148508,1414.27462,-0.109805917,30013.02196,-75.6725317,36.02071362,32.12728125952044,45.00238973,-0.733451363,-0.171915387,-0.002234535401007,3.9133017407379E-6,0.00171887338539,6.588355036,994.7921497,8.90258E-4,629.292637,411.7920482,-12422.56486,-14.71912786,-20370.23921,-0.868665378,23059.14982,-11.0088565,2.010467392,1184.965928
0.5,1414.135557,1414.293301,-0.137282531,30013.03431,-75.67205361,36.02110027,32.12728298986481,45.00311258,-0.732664397,-0.172395158,-0.0024579889411077,8.365183808898E-6,0.0020970255301758,8.236951886,994.7920966,8.90258E-4,629.2922841,411.7920043,-12422.60976,-13.9184164,-20370.30023,-0.114172052,23059.22638,-12.72682081,2.010471576,1184.968331
0.6,1414.122482,1414.312034,-0.164770405,30013.04941,-75.6715755,36.02148691,32.127284710207654,45.00385967,-0.731876901,-0.172874575,-0.0022230762451044,1.2490479933834E-5,0.0022001579332992,9.886224323,994.7920318,8.90257E-4,629.2918528,411.7919506,-12422.65276,-12.88935894,-20370.37398,0.684874492,23059.29959,-14.86029244,2.010475732,1184.970703
0.7,1414.109276,1414.330824,-0.192269238,30013.06726,-75.67109739,36.02187355,32.12728642055205,45.00460231,-0.731089038,-0.173309733,-0.0015928226704614,1.6329297161205E-5,0.0020110818609063,11.5361543,994.7919551,8.90257E-4,629.2913429,411.7918871,-12422.69387,-11.9353383,-20370.42835,1.290412381,23059.37004,-16.7837457,2.010479859,1184.973045
0.8,1414.095963,1414.349647,-0.219777741,30013.08787,-75.67061927,36.02226019,32.127288120896466,45.00531501,-0.730300844,-0.173668973,-7.44845133669E-4,2.0397297506628E-5,0.0016157409822666001,13.18666449,994.7918666,8.90256E-4,629.2907545,411.7918139,-12422.73309,-11.31615028,-20370.49579,1.538271686,23059.43641,-17.97700507,2.010483959,1184.975356
0.9,1414.082587,1414.368458,-0.247296788,30013.11122,-75.67014113,36.02264682,32.12728981123935,45.00598232,-0.729512427,-0.173941374,9.224620501593E-5,2.349126960033E-5,0.0011287268564061002,14.83780728,994.7917663,8.90255E-4,629.2900875,411.7917308,-12422.77041,-11.17915789,-20370.55945,1.377800713,23059.50067,-18.16171911,2.010488031,1184.977637
1.0,1414.069202,1414.387206,-0.274825576,30013.13733,-75.669663,36.02303345,32.1272914915838,45.00660239,-0.728723872,-0.174138744,7.104676659612E-4,2.5954988119388998E-5,6.932789321073E-4,16.48953456,994.7916542,8.90254E-4,629.2893418,411.791638,-12422.80585,-11.52678463,-20370.61946,0.877081679,23059.56253,-17.36053769,2.010492076,1184.979887
1.1,1414.05585,1414.405847,-0.302363588,30013.16619,-75.66918485,36.02342007,32.12729317192669,45.00718649,-0.727935223,-0.174291057,9.682986737697E-4,2.7731157284292E-5,4.239887683962E-4,18.14181526,994.7915302,8.90253E-4,629.2885176,411.7915354,-12422.83939,-12.22666377,-20370.67585,0.19487609,23059.62198,-15.86835754,2.010496093,1184.982107
1.2,1414.042556,1414.424357,-0.329909696,30013.1978,-75.66870669,36.02380669,32.12729483226962,45.00775486,-0.727146447,-0.174437108,8.365183808898E-4,2.9278143331143E-5,3.8330876494197E-4,19.79458178,994.7913944,8.90252E-4,629.2876147,411.7914229,-12422.87105,-13.05844747,-20370.72894,-0.470446643,23059.6783,-14.15009311,2.010500082,1184.984296
1.3,1414.029319,1414.442737,-0.35746362,30013.23217,-75.66822852,36.02419331,32.12729649261409,45.0083305,-0.726357511,-0.174613353,3.8789242730301E-4,3.0424058921403E-5,5.6264455481766E-4,21.4478172,994.7912468,8.90251E-4,629.2866331,411.7913007,-12422.90081,-13.78154787,-20370.77867,-0.939140191,23059.73165,-12.69890052,2.010504044,1184.986455
1.4,1414.016114,1414.461012,-0.385022419,30013.26929,-75.66775035,36.02457993,32.12729814295703,45.00893252,-0.725568293,-0.174844186,-2.1886987773966E-4,3.3116960558514E-5,8.938141604027999E-4,23.10134516,994.7910873,8.9025E-4,629.2855728,411.7911687,-12422.92867,-14.20344531,-20370.81036,-1.098747148,23059.77944,-11.89715671,2.010507978,1184.988584
1.5,1414.002904,1414.479219,-0.41258855,30013.30917,-75.66727217,36.02496654,32.12729978329998,45.00957116,-0.724778736,-0.175136239,-7.964113352307E-4,3.5065017061956E-5,0.0012776958831398999,24.75531298,994.790916,8.90249E-4,629.2844338,411.7910269,-12422.95465,-14.22955803,-20370.8545,-0.930433306,23059.82449,-11.91852984,2.010511885,1184.990683
1.6,1413.989647,1414.4974,-0.440159695,30013.35181,-75.66679398,36.02535314,32.12730142364294,45.01024561,-0.723988841,-0.175478013,-0.0011802930579677998,3.7872510258093E-5,0.0015928226704614,26.4095817,994.7907329,8.90247E-4,629.283216,411.7908753,-12422.97873,-13.88220369,-20370.88013,-0.50735017,23059.86499,-12.69531209,2.010515766,1184.992752
